#,File format,Frequency,Data,Metadata,Klaar,Vendor,speciesgroup,Coordination of data,Scope,Equipment main,Equipment sub,Phase 1 scope,ID of a dataset,ID for a file,dataset name,description,source name,source URL,author name,author email,author organization ,maintainer name,maintainer email,maintainer organization,publisher name ,publisher email ,publisher Organization ,citation,timespan dataset,Season,timestamp,Data Upload Frequency,# of data points in set,data format,revision number,revision date,Species Group,geographic region ,Location,license ,Data Size,HubOcean (OceanDataPlatform),EMODnet,ICES,Informatiehuis Marien,ESAS
1,To be decided,,,,JoeCu + NieHe,third party,"bird, bat, harbour porpoise, benthos",Ecowende,API,AIS data - shipradar of human activity,marinetraffic.com,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,to be excluded,,,,NieHe,Movebank.org,bird,WE,API,data enrichment gpslog trackingdata,data enrichment gpslog trackingdata,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,To be decided,,,,AlrDr + NieHe,third party,"bird, bat",Ecowende,API,flights radar of human activity,Flight radar,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,To be decided,,,,NieHe,Informatiehuis Marien/ WMR,,WE,API,prey fish monitoring data,prey fish monitoring data,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,to be excluded,,,,NieHe,underwaternoise.ices.dk,bird,WE,API,underwater noise data,underwater noice data,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,more information needed,,,,JoeCu + AlrDr +  NieHe,RWS,,Ecowende,API,weather data from RWS,waves,Included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,more information needed,,,,JoeCu,RWS,,Ecowende,API,weather data from RWS/KNMI,water temperature,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,more information needed,,,,AlrDr,KNMI,,Ecowende,API,weather data from RWS/KNMI?,as many parameters as possible,Included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,more information needed,,,,JoeCu,RWS,,Ecowende,API,weather data from RWS/KNMI?,chlorophyl,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CSV,1 Month ,Yes,Yes,NieHe,Ornitella,bird,WE,Bird,GPS loggers,+,Included,,,GPS data greater black-backed gull,GPS bird tracks,GPS_GBBG_20240527_20240804.csv,,Ornitela,,,Waardenburg Ecology,hkw@waardenburg.eco,Waardenburg Ecology,Waardenburg Ecology,hkw@waardenburg.eco,Waardenburg Ecology,,27/05/2024-04/08/2024,, 18/09/2024 15:46,monthly,351710,csv,1,18/09/2024,birds,"polygon(7.5 58.0, 7.6 59.0, 7.5 59.0, 7.6 58.0)",n/a,,"30,471 MB",?,?,?,?,?
12,CSV,live,Yes,Yes,NieHe,RobinRadar,"bird, bat",WE,BUOY,Radar,"Radar on Buoy (FLORA) (when windpark is build, buoy radar goes to WTG.)",Excluded,UUID,,Radar on buoy,Robin radar bird tracks,RR_buoy_20240918,,RobinRadar,,,Waardenburg Ecology,hkw@waardenburg.eco,Waardenburg Ecology,hkw@waardenburg.eco,hkw@waardenburg.eco,Waardenburg Ecology,,,All, 18/09/2024 16:04,?,per file,csv,1,18/09/2024,birds,"polygon(7.5 58.0, 7.6 59.0, 7.5 59.0, 7.6 58.0)",7.5 58.0,,?,?,No,No,No,?
37,,,,,JoeCu,WMR/ WaterProof,fish,External/WE,echosounder,multibeam,multibeam echosounder backscatter - sandwaves/ Sabellaria,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Needs further discussion,,JoeCu,Fugro,Bath,WaterProof,,multibeam,multibeam echosounder bathymetry - sandwaves,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,netCDF,3 months,Yes (sample from other project),Yes,JoeCu,WaterProof,,WaterProof,PAM,PAM frames,Acoustic Recorder ,Included,UUID per file,,PAM-Ambient sound,,RTsys,,WaterProof,tbd,WaterProof,WaterProof,tbd,WaterProof,WaterProof,tbd,WaterProof,tbd,Per file,NA,per file,quarterly,per file,NetCDF,per file,per file,NA,Windfarm,per file,,tbd,Maybe,No,Yes,Maybe,No
19,netCDF,3 months,Maybe (sample from other project),Maybe,JoeCu,WaterProof,,WaterProof,PAM,PAM frames,ADCP 30 min. - sandwaves,Included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,JerKw,WaterProof,fish,WE,PAM,PAM frames,Echosounder - fish sonar - WBAT,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,netCDF,3 months,Maybe (sample from other project),Maybe,?Ecowende,WaterProof,harbour porpoise,WaterProof,PAM,PAM frames,FPOD,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,netCDF,3 months,Yes (sample from other project),Maybe,JoeCu,WaterProof,,WaterProof,PAM,PAM frames,MPP up to 7 parameters with 1 sonde ,Included,UUID per file,,PAM-MPP,,YSI,,WaterProof,tbd,WaterProof,WaterProof,tbd,WaterProof,WaterProof,tbd,WaterProof,tbd,per file,NA,per file,quarterly,per file,NetCDF,per file,per file,NA,Windfarm,per file,,tbd,Maybe,Yes,Maybe,Maybe,No
23,,,,,JoeCu,WMR/ WaterProof,benthos,WMR/ WaterProof,PAM,PAM frames,Subsea transponder USBL,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
